day,doppler_rms_mm_s,n_60s_samples,tropo_rate_rms,elongation_deg,solar_model_mm_s,decimal_year,doppler_smooth_mm_s,solar_smooth_mm_s,tropo_smooth
2012-01-01,0.024972263675111638,384,0.00019286686738386987,33.9079,0.03575911139538439,2012.0,0.042891620728651186,0.03541068224667217,0.00019291818502266943
2012-01-02,0.07515808827816384,388,0.00018921045339885702,34.1148,0.035525461035371804,2012.002737850787,0.050251416484028984,0.03529590345797253,0.000192969502661469
2012-01-03,0.03553182497327338,392,0.000192969502661469,34.321,0.03529590345797253,2012.0054757015744,0.05741562625988787,0.035183122927470487,0.0001932112436298015
2012-01-04,0.050251416484028984,396,0.000193452984598134,34.5265,0.03507034239696844,2012.0082135523614,0.05196918456674499,0.03507034239696844,0.000193452984598134
2012-01-05,0.06457983603574675,400,0.0001977901590679322,34.7311,0.034848899491166624,2012.0109514031485,0.06457983603574675,0.034848899491166624,0.00019679016285069768
2012-01-06,0.08003123609045544,405,0.00019679016285069768,34.935,0.03463126338886324,2012.0136892539356,0.05196918456674499,0.03463126338886324,0.0001977901590679322
2012-01-07,0.05196918456674499,409,0.00020219878609752361,35.138,0.03441755564581233,2012.0164271047229,0.06457983603574675,0.03441755564581233,0.00020219878609752361
2012-01-08,0.08613939698251774,55,0.0014939876976916165,35.3401,0.03420768285085068,2012.01916495551,0.07073465881355591,0.03420768285085068,0.0006488264118916496
2012-01-09,0.04929205728040447,333,0.0006488264118916496,35.5414,0.03400145273185202,2012.021902806297,0.08003123609045544,0.03400145273185202,0.0013738461246525547
2012-01-10,0.108077804676559,568,0.0013738461246525547,35.7418,0.03379888202834254,2012.024640657084,0.08613939698251774,0.03379888202834254,0.0013811669142814783
2012-01-11,0.07073465881355591,579,0.0013811669142814783,35.9413,0.03359988561253638,2012.0273785078714,0.09343695894140473,0.03359988561253638,0.0013811669142814783
2012-01-12,0.09925028206735792,584,0.0013942211864675506,36.1398,0.0334044787408826,2012.0301163586585,0.09343695894140473,0.0334044787408826,0.0013738461246525547
2012-01-13,0.09343695894140473,588,0.00138864080259722,36.3373,0.033212577573293135,2012.0328542094455,0.09343695894140473,0.033212577573293135,0.0013738461246525547
2012-01-14,1.3840502890361566,201,0.0010108952348504626,36.5339,0.03302400553211617,2012.0355920602328,0.09343695894140473,0.03302400553211617,0.0010108952348504626
2012-01-15,0.08303144642064061,358,0.000644985070787462,36.7295,0.03283878152458483,2012.03832991102,0.09925028206735792,0.03283878152458483,0.000644985070787462
2012-01-16,0.06210900207600024,363,0.0006413738376967035,36.9241,0.032656829038257,2012.041067761807,0.09343695894140473,0.032656829038257,0.0006413738376967035
2012-01-17,0.28635439130167456,337,0.0001883174117886362,37.1177,0.032478073851472,2012.043805612594,0.08303144642064061,0.032478073851472,0.00021713497489723112
2012-01-18,0.17485466347828402,342,0.00018991229592676024,37.3103,0.03230244394922779,2012.0465434633813,0.08303144642064061,0.03230244394922779,0.00021713497489723112
2012-01-19,0.03959764003581037,460,0.00021713497489723112,37.5019,0.032129869442719096,2012.0492813141684,0.06210900207600024,0.032129869442719096,0.00021713497489723112
2012-01-20,0.04347750453832606,397,0.0001857204263150444,37.6924,0.03196037092782067,2012.0520191649555,0.08369549669638897,0.03196037092782067,0.00021713497489723112
2012-01-21,0.08369549669638897,469,0.0002209931407071196,37.8819,0.031793791984927364,2012.0547570157426,0.08369549669638897,0.031793791984927364,0.0002209931407071196
2012-01-22,0.038414933174931915,473,0.00022260150886459912,38.0703,0.03163015506035826,2012.0574948665299,0.08369549669638897,0.03163015506035826,0.0002209931407071196
2012-01-23,0.3599141144083753,204,0.0005770600565526601,38.2578,0.03146922440337397,2012.060232717317,0.08369549669638897,0.03146922440337397,0.0002209931407071196
2012-01-24,0.09287741256655217,481,0.00022556219561389206,38.4442,0.03131111143104975,2012.062970568104,0.09169621036033156,0.03131111143104975,0.00022260150886459912
2012-01-25,0.09169621036033156,215,0.00021854476785143092,38.6294,0.03115583799796448,2012.065708418891,0.09169621036033156,0.03115583799796448,0.00022556219561389206
2012-01-26,0.058038134148160066,218,0.00022044337575242496,38.8135,0.031003259112267614,2012.0684462696784,0.09169621036033156,0.031003259112267614,0.00022670653125010185
2012-01-27,0.1499437988443852,494,0.00022670653125010185,38.9965,0.030853316810449068,2012.0711841204654,0.06537708445665182,0.030853316810449068,0.00022670653125010185
2012-01-28,0.0380849591540382,499,0.00022993540289860105,39.1784,0.030705954774982502,2012.0739219712525,0.058038134148160066,0.030705954774982502,0.00022888309681069752
2012-01-29,0.06537708445665182,502,0.00022888309681069752,39.359,0.030561277603113005,2012.0766598220398,0.058038134148160066,0.030561277603113005,0.0002297706890282325
2012-01-30,0.047683932757552464,507,0.00023099200363501938,39.5385,0.030419069270946623,2012.0793976728269,0.05880254450735814,0.030419069270946623,0.00022993540289860105
2012-01-31,0.032996802222104,511,0.0002297706890282325,39.7167,0.03027943403417309,2012.082135523614,0.047683932757552464,0.03027943403417309,0.00022993540289860105
2012-02-01,0.12500009520837865,514,0.00023259111092382184,39.8936,0.03014231667804871,2012.084873374401,0.05404029863030049,0.03014231667804871,0.00023099200363501938
2012-02-03,0.05880254450735814,523,0.00023301185401232452,40.2434,0.029875498098073654,2012.0903490759754,0.05404029863030049,0.029875498098073654,0.00023259111092382184
2012-02-04,0.04721824198106923,479,0.00019514343397349847,40.4162,0.02974576727228582,2012.0930869267625,0.0552032381773498,0.02974576727228582,0.00023301185401232452
2012-02-05,0.05404029863030049,531,0.0002341721462285724,40.5875,0.029618493565145995,2012.0958247775495,0.0552032381773498,0.029618493565145995,0.0002341721462285724
2012-02-06,0.06841822391503145,535,0.00023454492529125157,40.7574,0.029493551584201413,2012.0985626283368,0.05404029863030049,0.029493551584201413,0.00023454492529125157
2012-02-07,0.0552032381773498,538,0.00023654055333132958,40.9257,0.02937103768386385,2012.101300479124,0.05404029863030049,0.02937103768386385,0.00023654055333132958
2012-02-08,0.05082767655679512,543,0.000238482869841596,41.0924,0.02925090041857209,2012.104038329911,0.0552032381773498,0.02925090041857209,0.00023654055333132958
2012-02-09,0.04154067916812571,547,0.00023876555944852429,41.2574,0.029133160862855473,2012.1067761806983,0.0552032381773498,0.029133160862855473,0.00023654055333132958
2012-02-13,0.2153999722313158,148,0.0005201298704085862,41.9003,0.02868525967025227,2012.1177275838468,0.05224475042553844,0.02868525967025227,0.00023654055333132958
2012-02-14,0.0734131222629609,353,0.00021761604134195914,42.0565,0.02857898251020475,2012.1204654346338,0.05082767655679512,0.02857898251020475,0.00021761604134195914
2012-02-15,0.05224475042553844,356,0.00021464943836444904,42.2108,0.028474951962908463,2012.123203285421,0.04154067916812571,0.028474951962908463,0.00021464943836444904
2012-02-16,0.03156719834969162,498,0.00019800150909541963,42.3632,0.028373122309047778,2012.125941136208,0.03920837670920459,0.028373122309047778,0.00020328540991090284
2012-02-17,0.0373555589318788,556,0.00020328540991090284,42.5136,0.02827351514706794,2012.1286789869953,0.0373555589318788,0.02827351514706794,0.00020318469603806174
