start,end,duration_hr,median_signal,peak_signal
2012-01-05 16:05:30,2012-01-07 17:25:30,49.333333333333336,1.5043741563553776,1.5800345789725676
2012-01-16 18:35:30,2012-01-19 12:55:30,66.33333333333333,2.8755376787951663,3.851645849252302
2012-01-24 12:55:30,2012-01-28 13:05:30,96.16666666666667,1.8061745757054712,2.1377762904328717
2012-02-01 11:15:30,2012-02-03 17:55:30,54.666666666666664,2.0693526026710467,2.6989166961283075
2012-02-07 17:15:30,2012-02-09 10:55:30,41.666666666666664,1.4215843741742291,1.5699608544712982
2012-02-09 17:45:30,2012-02-16 12:25:30,162.66666666666666,1.7000812519025073,1.9679425216648694
2012-02-25 11:45:30,2012-02-27 14:15:30,50.5,2.4979089968349046,3.5538284901656034
2012-03-01 13:45:30,2012-03-09 10:25:30,188.66666666666666,1.8042125119637218,3.5495419238004544
2012-03-17 16:15:30,2012-03-20 12:55:30,68.66666666666667,1.4517936489529546,1.5865302219591517
2012-03-27 15:45:30,2012-03-29 18:35:30,50.833333333333336,1.5294603934653823,1.6601991848029343
2012-04-01 17:05:30,2012-04-04 10:45:30,65.66666666666667,1.5710390662902416,1.690979135474445
2012-04-09 15:55:30,2012-04-11 13:15:30,45.333333333333336,1.3048973186711956,1.5975473553796458
2012-04-12 17:45:30,2012-04-24 09:45:30,280.0,1.5464413846680665,2.1697746630855335
2012-05-03 14:35:30,2012-05-05 11:55:30,45.333333333333336,1.5375229010603078,1.6920438252687773
2012-05-14 12:15:30,2012-05-15 12:25:30,24.166666666666668,1.4298837509332119,1.4815068794883546
2012-06-03 11:35:30,2012-06-07 11:45:30,96.16666666666667,1.3940379764741335,1.4282884250792969
2012-06-10 10:15:30,2012-06-12 14:05:30,51.833333333333336,1.5962953800388706,1.9824341068686617
2012-06-17 06:15:30,2012-06-20 08:35:30,74.33333333333333,1.5922070962558448,1.884042603683401
2012-07-07 09:05:30,2012-07-08 12:15:30,27.166666666666668,1.4520359584973486,1.6611342984325748
2012-07-14 06:25:30,2012-07-15 13:15:30,30.833333333333332,1.5304587087490011,2.051864318156229
2012-07-29 05:25:30,2012-07-30 10:25:30,29.0,1.406907975545669,1.663485630572927
2012-08-02 04:25:30,2012-08-03 07:05:30,26.666666666666668,1.7930237825455886,2.104597262542433
2012-08-06 12:35:30,2012-08-24 03:55:30,423.3333333333333,1.578572307805862,2.533931782597617
2012-08-24 11:35:30,2012-08-27 12:35:30,73.0,1.5052560511834572,2.758441620683066
2012-09-06 10:45:30,2012-09-09 13:25:30,74.66666666666667,1.4726963393292765,1.6883335056922872
2012-09-19 12:35:30,2012-09-21 08:55:30,44.333333333333336,1.5465189426993473,1.8107262870940177
2012-09-22 13:15:30,2012-09-24 10:15:30,45.0,1.6332206658103048,1.8406335954386286
2012-09-28 12:35:30,2012-10-01 05:35:30,65.0,1.6461296050074696,1.925633332635944
2012-10-04 11:55:30,2012-10-06 05:05:30,41.166666666666664,1.7434403893014172,2.0779724775389443
2012-10-06 12:15:30,2012-10-12 08:35:30,140.33333333333334,1.9787524164406622,4.922711221357641
2012-10-21 07:45:30,2012-10-22 13:25:30,29.666666666666668,1.470286133458629,1.7233643880334943
2012-10-24 05:55:30,2012-10-26 10:45:30,52.833333333333336,1.5641561356333353,1.8231281470774678
2012-10-30 06:15:30,2012-11-01 12:15:30,54.0,2.2647555393695527,2.9639024580069133
2012-11-03 07:15:30,2012-11-17 09:55:30,338.6666666666667,1.9008225187080354,5.702497831660818
2012-11-21 08:05:30,2012-11-26 10:35:30,122.5,1.5367714086524504,1.7669618904052462
2012-11-28 11:25:30,2012-12-05 08:15:30,164.83333333333334,1.9504400877456805,2.7546055565011556
2012-12-07 07:25:30,2012-12-11 05:45:30,94.33333333333333,1.9256340011832025,5.447601097330485
2012-12-11 09:15:30,2012-12-21 08:25:30,239.16666666666666,1.6247959711914257,11.940445380461561
2012-12-23 12:55:30,2012-12-30 13:15:30,168.33333333333334,1.672423998190195,2.406470662122884
