start,end,mid,phase_rms_rad,n_samples
2010-01-01 09:37:20,2010-01-01 09:57:20,2010-01-01 09:47:20,14.885681879588477,120
2010-01-01 09:47:20,2010-01-01 10:07:20,2010-01-01 09:57:20,15.971840762959076,120
2010-01-01 09:57:20,2010-01-01 10:17:20,2010-01-01 10:07:20,8.508994951912767,120
2010-01-01 10:07:20,2010-01-01 10:27:20,2010-01-01 10:17:20,6.813039289138057,120
2010-01-01 10:17:20,2010-01-01 10:37:20,2010-01-01 10:27:20,9.688446361020613,120
2010-01-01 10:27:20,2010-01-01 10:47:20,2010-01-01 10:37:20,8.71217490488094,117
2010-01-01 10:37:20,2010-01-01 10:57:20,2010-01-01 10:47:20,6.519551223133148,57
2010-01-02 09:27:20,2010-01-02 09:47:20,2010-01-02 09:37:20,18.062261851690366,53
2010-01-02 09:37:20,2010-01-02 09:57:20,2010-01-02 09:47:20,44.11681450875049,112
2010-01-02 09:47:20,2010-01-02 10:07:20,2010-01-02 09:57:20,24.325380772181564,119
2010-01-02 09:57:20,2010-01-02 10:17:20,2010-01-02 10:07:20,16.573201332995993,120
2010-01-02 10:07:20,2010-01-02 10:27:20,2010-01-02 10:17:20,16.610812386373105,120
2010-01-02 10:17:20,2010-01-02 10:37:20,2010-01-02 10:27:20,17.77050303730776,120
2010-01-02 10:27:20,2010-01-02 10:47:20,2010-01-02 10:37:20,28.39655030763483,115
2010-01-02 10:37:20,2010-01-02 10:57:20,2010-01-02 10:47:20,11.750294973067,55
2010-01-03 09:37:20,2010-01-03 09:57:20,2010-01-03 09:47:20,20.025553729776522,106
2010-01-03 09:47:20,2010-01-03 10:07:20,2010-01-03 09:57:20,15.941169301820702,120
2010-01-03 09:57:20,2010-01-03 10:17:20,2010-01-03 10:07:20,14.767038412448205,120
2010-01-03 10:07:20,2010-01-03 10:27:20,2010-01-03 10:17:20,15.396187381536862,120
2010-01-03 10:17:20,2010-01-03 10:37:20,2010-01-03 10:27:20,19.836229663321337,120
2010-01-03 10:27:20,2010-01-03 10:47:20,2010-01-03 10:37:20,18.472886880288357,117
2010-01-03 10:37:20,2010-01-03 10:57:20,2010-01-03 10:47:20,12.307181256132889,57
2010-01-04 09:37:20,2010-01-04 09:57:20,2010-01-04 09:47:20,21.030456429475908,94
2010-01-04 09:47:20,2010-01-04 10:07:20,2010-01-04 09:57:20,34.30765995280267,109
2010-01-04 09:57:20,2010-01-04 10:17:20,2010-01-04 10:07:20,31.989157341961484,107
2010-01-04 10:07:20,2010-01-04 10:27:20,2010-01-04 10:17:20,49.14179187612708,117
2010-01-04 10:17:20,2010-01-04 10:37:20,2010-01-04 10:27:20,32.79662684675519,118
2010-01-04 10:27:20,2010-01-04 10:47:20,2010-01-04 10:37:20,28.423108702118302,113
2010-01-04 10:37:20,2010-01-04 10:57:20,2010-01-04 10:47:20,16.395321431442156,55
2010-01-05 09:37:20,2010-01-05 09:57:20,2010-01-05 09:47:20,13.04451264693005,94
2010-01-05 09:47:20,2010-01-05 10:07:20,2010-01-05 09:57:20,51.38391833643139,120
2010-01-05 09:57:20,2010-01-05 10:17:20,2010-01-05 10:07:20,18.832048922384853,120
2010-01-05 10:07:20,2010-01-05 10:27:20,2010-01-05 10:17:20,29.74861083113659,120
2010-01-05 10:17:20,2010-01-05 10:37:20,2010-01-05 10:27:20,35.40012023787154,119
2010-01-05 10:27:20,2010-01-05 10:47:20,2010-01-05 10:37:20,36.92268419385631,115
2010-01-05 10:37:20,2010-01-05 10:57:20,2010-01-05 10:47:20,15.73725701199797,56
2010-01-06 09:37:20,2010-01-06 09:57:20,2010-01-06 09:47:20,22.225161183354036,89
2010-01-06 09:47:20,2010-01-06 10:07:20,2010-01-06 09:57:20,34.471337750988454,120
2010-01-06 09:57:20,2010-01-06 10:17:20,2010-01-06 10:07:20,24.169176292976413,120
2010-01-06 10:07:20,2010-01-06 10:27:20,2010-01-06 10:17:20,21.902302460855825,120
2010-01-06 10:17:20,2010-01-06 10:37:20,2010-01-06 10:27:20,16.451487998965472,119
2010-01-06 10:27:20,2010-01-06 10:47:20,2010-01-06 10:37:20,34.10224004636859,116
2010-01-06 10:37:20,2010-01-06 10:57:20,2010-01-06 10:47:20,13.23589779615456,57
2010-01-07 09:37:20,2010-01-07 09:57:20,2010-01-07 09:47:20,15.638948145352279,84
2010-01-07 09:47:20,2010-01-07 10:07:20,2010-01-07 09:57:20,19.74588341234867,120
2010-01-07 09:57:20,2010-01-07 10:17:20,2010-01-07 10:07:20,29.136722938371285,120
2010-01-07 10:07:20,2010-01-07 10:27:20,2010-01-07 10:17:20,15.04187275670081,120
2010-01-07 10:17:20,2010-01-07 10:37:20,2010-01-07 10:27:20,28.188760860682706,120
2010-01-07 10:27:20,2010-01-07 10:47:20,2010-01-07 10:37:20,14.49393081236213,115
2010-01-07 10:37:20,2010-01-07 10:57:20,2010-01-07 10:47:20,13.067279669135287,55
2010-01-08 09:37:20,2010-01-08 09:57:20,2010-01-08 09:47:20,14.188674481304565,80
2010-01-08 09:47:20,2010-01-08 10:07:20,2010-01-08 09:57:20,16.502530941698527,120
2010-01-08 09:57:20,2010-01-08 10:17:20,2010-01-08 10:07:20,13.525666392754545,120
2010-01-08 10:07:20,2010-01-08 10:27:20,2010-01-08 10:17:20,15.270073167454285,119
2010-01-08 10:17:20,2010-01-08 10:37:20,2010-01-08 10:27:20,9.749916142608969,119
2010-01-08 10:27:20,2010-01-08 10:47:20,2010-01-08 10:37:20,13.342404939748347,120
2010-01-08 10:37:20,2010-01-08 10:57:20,2010-01-08 10:47:20,13.559573410158022,119
2010-01-08 10:47:20,2010-01-08 11:07:20,2010-01-08 10:57:20,16.60050984263935,119
2010-01-08 10:57:20,2010-01-08 11:17:20,2010-01-08 11:07:20,11.799628297542263,120
2010-01-08 11:07:20,2010-01-08 11:27:20,2010-01-08 11:17:20,17.384619591437975,120
2010-01-08 11:17:20,2010-01-08 11:37:20,2010-01-08 11:27:20,24.241838640056763,117
2010-01-08 11:27:20,2010-01-08 11:47:20,2010-01-08 11:37:20,11.142400370773197,57
