start,end,mid,phase_rms_rad,n_samples
2011-01-04 05:44:10,2011-01-04 06:04:10,2011-01-04 05:54:10,0.6983774466004199,120
2011-01-04 05:54:10,2011-01-04 06:14:10,2011-01-04 06:04:10,0.6114507705263776,120
2011-01-04 06:04:10,2011-01-04 06:24:10,2011-01-04 06:14:10,0.4235307272915196,120
2011-01-04 06:14:10,2011-01-04 06:34:10,2011-01-04 06:24:10,0.2809634051264604,120
2011-01-04 06:24:10,2011-01-04 06:44:10,2011-01-04 06:34:10,0.4070512493166755,120
2011-01-04 06:34:10,2011-01-04 06:54:10,2011-01-04 06:44:10,0.1400010454220507,120
2011-01-04 06:44:10,2011-01-04 07:04:10,2011-01-04 06:54:10,0.389570787953939,120
2011-01-04 06:54:10,2011-01-04 07:14:10,2011-01-04 07:04:10,0.6203586248607876,120
2011-01-04 07:04:10,2011-01-04 07:24:10,2011-01-04 07:14:10,0.27214857184464836,120
2011-01-04 07:14:10,2011-01-04 07:34:10,2011-01-04 07:24:10,0.2893132417154227,120
2011-01-04 07:24:10,2011-01-04 07:44:10,2011-01-04 07:34:10,0.43781941305634864,120
2011-01-04 07:34:10,2011-01-04 07:54:10,2011-01-04 07:44:10,0.210521979511721,120
2011-01-04 07:44:10,2011-01-04 08:04:10,2011-01-04 07:54:10,0.504835957987642,120
2011-01-04 07:54:10,2011-01-04 08:14:10,2011-01-04 08:04:10,0.26072179564500525,120
2011-01-04 08:04:10,2011-01-04 08:24:10,2011-01-04 08:14:10,0.2983880113844094,120
2011-01-04 08:14:10,2011-01-04 08:34:10,2011-01-04 08:24:10,0.13797933310375657,120
2011-01-04 08:24:10,2011-01-04 08:44:10,2011-01-04 08:34:10,0.23161758172829133,120
2011-01-04 08:34:10,2011-01-04 08:54:10,2011-01-04 08:44:10,0.2448892036310308,120
2011-01-04 08:44:10,2011-01-04 09:04:10,2011-01-04 08:54:10,0.3469638167059027,120
2011-01-04 08:54:10,2011-01-04 09:14:10,2011-01-04 09:04:10,0.2643418545976244,120
2011-01-04 09:04:10,2011-01-04 09:24:10,2011-01-04 09:14:10,0.35780764136929677,120
2011-01-04 09:14:10,2011-01-04 09:34:10,2011-01-04 09:24:10,0.2480565992212298,120
2011-01-04 09:24:10,2011-01-04 09:44:10,2011-01-04 09:34:10,0.49016489520481504,120
2011-01-04 09:34:10,2011-01-04 09:54:10,2011-01-04 09:44:10,0.30997389391914576,120
2011-01-04 09:44:10,2011-01-04 10:04:10,2011-01-04 09:54:10,0.27316669583549724,120
2011-01-04 09:54:10,2011-01-04 10:14:10,2011-01-04 10:04:10,0.16261972255845994,120
2011-01-04 10:04:10,2011-01-04 10:24:10,2011-01-04 10:14:10,0.26671863580909577,120
2011-01-04 10:14:10,2011-01-04 10:34:10,2011-01-04 10:24:10,0.24917007350958253,120
2011-01-04 10:24:10,2011-01-04 10:44:10,2011-01-04 10:34:10,0.4197501218231704,120
2011-01-04 10:34:10,2011-01-04 10:54:10,2011-01-04 10:44:10,0.5427058256405922,120
2011-01-04 10:44:10,2011-01-04 11:04:10,2011-01-04 10:54:10,0.3567333303828064,120
2011-01-04 10:54:10,2011-01-04 11:14:10,2011-01-04 11:04:10,0.6006406571633234,120
2011-01-04 11:04:10,2011-01-04 11:24:10,2011-01-04 11:14:10,0.47219056522100616,120
2011-01-04 11:14:10,2011-01-04 11:34:10,2011-01-04 11:24:10,0.5293294140076642,120
2011-01-04 11:24:10,2011-01-04 11:44:10,2011-01-04 11:34:10,0.6126877356978684,120
2011-01-04 11:34:10,2011-01-04 11:54:10,2011-01-04 11:44:10,0.43022706770343927,120
2011-01-04 11:44:10,2011-01-04 12:04:10,2011-01-04 11:54:10,0.26305368290468234,120
2011-01-04 11:54:10,2011-01-04 12:14:10,2011-01-04 12:04:10,0.4947954156382097,120
2011-01-04 12:04:10,2011-01-04 12:24:10,2011-01-04 12:14:10,0.5804030652209041,120
2011-01-04 12:14:10,2011-01-04 12:34:10,2011-01-04 12:24:10,0.8139030543737772,118
2011-01-04 12:24:10,2011-01-04 12:44:10,2011-01-04 12:34:10,0.5968943328951447,58
2011-01-05 05:34:10,2011-01-05 05:54:10,2011-01-05 05:44:10,0.9280050497363205,91
2011-01-05 05:44:10,2011-01-05 06:04:10,2011-01-05 05:54:10,1.0320255579279225,120
2011-01-05 05:54:10,2011-01-05 06:14:10,2011-01-05 06:04:10,0.9448393152804234,120
2011-01-05 06:04:10,2011-01-05 06:24:10,2011-01-05 06:14:10,0.5213602146954456,120
2011-01-05 06:14:10,2011-01-05 06:34:10,2011-01-05 06:24:10,0.5055067231491299,120
2011-01-05 06:24:10,2011-01-05 06:44:10,2011-01-05 06:34:10,0.6356068933819502,120
2011-01-05 06:34:10,2011-01-05 06:54:10,2011-01-05 06:44:10,0.6481632042929217,120
2011-01-05 06:44:10,2011-01-05 07:04:10,2011-01-05 06:54:10,0.5388530940590125,120
2011-01-05 06:54:10,2011-01-05 07:14:10,2011-01-05 07:04:10,0.5801254169793206,120
2011-01-05 07:04:10,2011-01-05 07:24:10,2011-01-05 07:14:10,0.5135492979445362,120
2011-01-05 07:14:10,2011-01-05 07:34:10,2011-01-05 07:24:10,0.4996323598947676,120
2011-01-05 07:24:10,2011-01-05 07:44:10,2011-01-05 07:34:10,0.4897781794176706,120
2011-01-05 07:34:10,2011-01-05 07:54:10,2011-01-05 07:44:10,0.5211204270852768,120
2011-01-05 07:44:10,2011-01-05 08:04:10,2011-01-05 07:54:10,0.42865926698194173,120
2011-01-05 07:54:10,2011-01-05 08:14:10,2011-01-05 08:04:10,0.4446935512797056,120
2011-01-05 08:04:10,2011-01-05 08:24:10,2011-01-05 08:14:10,0.4239341575923933,120
2011-01-05 08:14:10,2011-01-05 08:34:10,2011-01-05 08:24:10,0.38885380241149314,120
2011-01-05 08:24:10,2011-01-05 08:44:10,2011-01-05 08:34:10,0.647240364612336,120
2011-01-05 08:34:10,2011-01-05 08:54:10,2011-01-05 08:44:10,0.3417102433789161,120
2011-01-05 08:44:10,2011-01-05 09:04:10,2011-01-05 08:54:10,0.4951805999796481,120
2011-01-05 08:54:10,2011-01-05 09:14:10,2011-01-05 09:04:10,0.5632200093092731,120
2011-01-05 09:04:10,2011-01-05 09:24:10,2011-01-05 09:14:10,0.4681296401339269,120
