start,end,mid,phase_rms_rad,n_samples,baseline_phase_rms_rad,phase_ratio,is_disturbed
2010-01-06 10:17:20,2010-01-06 10:37:20,2010-01-06 10:27:20,16.451487998965472,119,19.035181646895,0.8642674550809459,False
2010-01-06 10:27:20,2010-01-06 10:47:20,2010-01-06 10:37:20,34.10224004636859,116,19.04925092231755,1.7902142286558573,False
2010-01-06 10:37:20,2010-01-06 10:57:20,2010-01-06 10:47:20,13.23589779615456,57,19.12279377159052,0.6921529329996888,False
2010-01-07 09:37:20,2010-01-07 09:57:20,2010-01-07 09:47:20,15.63894814535228,84,19.196336620863487,0.8146839917547148,False
2010-01-07 09:47:20,2010-01-07 10:07:20,2010-01-07 09:57:20,19.74588341234867,120,19.22104996106917,1.0273051395393338,False
2010-01-07 09:57:20,2010-01-07 10:17:20,2010-01-07 10:07:20,29.136722938371285,120,19.245763301274856,1.5139291948187497,False
2010-01-07 10:07:20,2010-01-07 10:27:20,2010-01-07 10:17:20,15.04187275670081,120,19.246285439077496,0.7815467979166473,False
2010-01-07 10:17:20,2010-01-07 10:37:20,2010-01-07 10:27:20,28.188760860682702,120,19.246807576880133,1.4645941020652133,False
2010-01-07 10:27:20,2010-01-07 10:47:20,2010-01-07 10:37:20,14.49393081236213,115,19.259333919681602,0.7525665670893433,False
2010-01-07 10:37:20,2010-01-07 10:57:20,2010-01-07 10:47:20,13.067279669135289,55,19.27186026248307,0.678049731118777,False
2010-01-08 09:37:20,2010-01-08 09:57:20,2010-01-08 09:47:20,14.188674481304565,80,19.259333919681602,0.7367167805738494,False
2010-01-08 09:47:20,2010-01-08 10:07:20,2010-01-08 09:57:20,16.502530941698527,120,19.27186026248307,0.8563019198423905,False
2010-01-08 09:57:20,2010-01-08 10:17:20,2010-01-08 10:07:20,13.525666392754545,120,19.50887183741587,0.6933084857738315,False
2010-01-08 10:07:20,2010-01-08 10:27:20,2010-01-08 10:17:20,15.270073167454283,119,19.74588341234867,0.7733294504263452,False
2010-01-08 10:17:20,2010-01-08 10:37:20,2010-01-08 10:27:20,9.749916142608969,119,19.791056537835004,0.492642528910462,False
2010-01-08 10:27:20,2010-01-08 10:47:20,2010-01-08 10:37:20,13.342404939748349,120,19.836229663321337,0.6726280732885165,False
2010-01-08 10:37:20,2010-01-08 10:57:20,2010-01-08 10:47:20,13.559573410158022,119,19.930891696548926,0.6803294913546637,False
2010-01-08 10:47:20,2010-01-08 11:07:20,2010-01-08 10:57:20,16.60050984263935,119,20.02555372977652,0.8289663330485398,False
2010-01-08 10:57:20,2010-01-08 11:17:20,2010-01-08 11:07:20,11.799628297542265,120,19.930891696548926,0.5920271143506035,False
2010-01-08 11:07:20,2010-01-08 11:27:20,2010-01-08 11:17:20,17.384619591437975,120,19.836229663321337,0.8764074567851686,False
2010-01-08 11:17:20,2010-01-08 11:37:20,2010-01-08 11:27:20,24.241838640056763,117,19.791056537835004,1.224888554772864,False
2010-01-08 11:27:20,2010-01-08 11:47:20,2010-01-08 11:37:20,11.142400370773196,57,19.836229663321337,0.5617196695083805,False
2010-01-14 09:37:20,2010-01-14 09:57:20,2010-01-14 09:47:20,18.644615622991346,65,19.930891696548926,0.9354631948664744,False
2010-01-14 09:47:20,2010-01-14 10:07:20,2010-01-14 09:57:20,29.86529143730589,120,20.02555372977652,1.4913590825155765,False
2010-01-14 09:57:20,2010-01-14 10:17:20,2010-01-14 10:07:20,17.14115856231183,120,20.39672861853485,0.8403876368063931,False
2010-01-14 10:07:20,2010-01-14 10:27:20,2010-01-14 10:17:20,28.13658418352829,120,20.02555372977652,1.4050340161975778,False
2010-01-14 10:17:20,2010-01-14 10:37:20,2010-01-14 10:27:20,23.016526154192785,120,19.930891696548926,1.1548166787830243,False
2010-01-14 10:27:20,2010-01-14 10:47:20,2010-01-14 10:37:20,18.411831899654175,117,19.836229663321337,0.9281921117146078,False
2010-01-14 10:37:20,2010-01-14 10:57:20,2010-01-14 10:47:20,6.895754522603801,57,19.791056537835004,0.34842781179574894,False
2010-01-15 09:37:20,2010-01-15 09:57:20,2010-01-15 09:47:20,14.841319110994716,65,19.74588341234867,0.7516158584078978,False
2010-01-15 09:47:20,2010-01-15 10:07:20,2010-01-15 09:57:20,16.72160824057615,120,19.50887183741587,0.8571284070104938,False
2010-01-15 09:57:20,2010-01-15 10:17:20,2010-01-15 10:07:20,21.30012422687502,120,19.74588341234867,1.078712143795722,False
2010-01-15 10:07:20,2010-01-15 10:27:20,2010-01-15 10:17:20,14.361591033192388,120,19.50887183741587,0.7361569214703864,False
2010-01-15 10:17:20,2010-01-15 10:37:20,2010-01-15 10:27:20,21.999542672873662,120,19.27186026248307,1.1415370583451474,False
2010-01-15 10:27:20,2010-01-15 10:47:20,2010-01-15 10:37:20,19.04925092231755,117,19.50887183741587,0.9764404154720614,False
2010-01-15 10:37:20,2010-01-15 10:57:20,2010-01-15 10:47:20,8.076551025475021,57,19.27186026248307,0.41908517991892097,False
2010-01-16 09:37:20,2010-01-16 09:57:20,2010-01-16 09:47:20,17.475864499608377,64,19.259333919681602,0.9073971390957268,False
2010-01-16 09:47:20,2010-01-16 10:07:20,2010-01-16 09:57:20,37.722856689796856,120,19.246807576880133,1.9599539580325378,False
2010-01-16 09:57:20,2010-01-16 10:17:20,2010-01-16 10:07:20,29.72635697878462,120,19.246285439077496,1.5445243744763586,False
2010-01-16 10:07:20,2010-01-16 10:27:20,2010-01-16 10:17:20,63.824174239744025,117,19.245763301274856,3.3162713912997286,True
2010-01-16 10:17:20,2010-01-16 10:37:20,2010-01-16 10:27:20,33.49864110065256,116,19.22104996106917,1.7428101570154393,False
2010-01-16 10:27:20,2010-01-16 10:47:20,2010-01-16 10:37:20,30.71708488418004,115,19.245763301274856,1.5960439917779365,False
2010-01-16 10:37:20,2010-01-16 10:57:20,2010-01-16 10:47:20,8.495777845703813,56,19.22104996106917,0.4420038376109208,False
2010-01-17 09:47:20,2010-01-17 10:07:20,2010-01-17 09:57:20,20.99565147543301,69,19.196336620863487,1.093732199539257,False
2010-01-17 09:57:20,2010-01-17 10:17:20,2010-01-17 10:07:20,17.246066168503187,69,19.12279377159052,0.9018591307575851,False
2010-01-17 10:07:20,2010-01-17 10:27:20,2010-01-17 10:17:20,22.468816414807065,78,19.04925092231755,1.1795118089647951,False
2010-01-17 10:17:20,2010-01-17 10:37:20,2010-01-17 10:27:20,23.724094168035958,85,19.12279377159052,1.2406186277698235,False
2010-01-17 10:27:20,2010-01-17 10:47:20,2010-01-17 10:37:20,19.245763301274856,81,19.196336620863487,1.0025747975453634,False
2010-01-18 09:37:20,2010-01-18 09:57:20,2010-01-18 09:47:20,23.562173880068364,65,19.22104996106917,1.2258525901442336,False
2010-01-18 09:47:20,2010-01-18 10:07:20,2010-01-18 09:57:20,35.05399240501228,120,19.196336620863487,1.8260771884419833,False
2010-01-18 09:57:20,2010-01-18 10:17:20,2010-01-18 10:07:20,26.53353200443728,120,19.22104996106917,1.3804413420795953,False
2010-01-18 10:07:20,2010-01-18 10:27:20,2010-01-18 10:17:20,11.076193753809823,120,19.245763301274856,0.5755133522335343,False
2010-01-18 10:17:20,2010-01-18 10:37:20,2010-01-18 10:27:20,19.196336620863487,120,19.246285439077496,0.9974047554073685,False
2010-01-18 10:27:20,2010-01-18 10:47:20,2010-01-18 10:37:20,18.623388180787167,117,19.245763301274856,0.9676617076317019,False
2010-01-18 10:37:20,2010-01-18 10:57:20,2010-01-18 10:47:20,9.552255895157746,57,19.22104996106917,0.4969684754217455,False
2010-01-19 09:37:20,2010-01-19 09:57:20,2010-01-19 09:47:20,30.781598292907017,64,19.196336620863487,1.6035141965291502,False
2010-01-19 09:47:20,2010-01-19 10:07:20,2010-01-19 09:57:20,23.67643156745364,118,19.12279377159052,1.238126178122998,False
2010-01-19 09:57:20,2010-01-19 10:17:20,2010-01-19 10:07:20,20.97518772833444,120,19.04925092231755,1.1011030204741814,False
2010-01-19 10:07:20,2010-01-19 10:27:20,2010-01-19 10:17:20,26.86823725635071,120,19.035181646895,1.411504116680359,False
2010-01-19 10:17:20,2010-01-19 10:37:20,2010-01-19 10:27:20,21.748488770648457,120,19.02111237147245,1.1433867980963341,False
2010-01-19 10:27:20,2010-01-19 10:47:20,2010-01-19 10:37:20,17.405800370853743,117,18.926580646928652,0.9196484402309777,False
2010-01-19 10:37:20,2010-01-19 10:57:20,2010-01-19 10:47:20,6.203673819268212,57,18.926580646928652,0.32777573165467294,False
2010-01-20 09:37:20,2010-01-20 09:57:20,2010-01-20 09:47:20,14.671030670132444,67,18.926580646928652,0.7751548440691644,False
2010-01-20 09:47:20,2010-01-20 10:07:20,2010-01-20 09:57:20,19.02111237147245,120,18.926580646928652,1.0049946541484311,False
2010-01-20 09:57:20,2010-01-20 10:17:20,2010-01-20 10:07:20,20.891843738685832,120,18.926580646928652,1.103836140738718,False
2010-01-20 10:07:20,2010-01-20 10:27:20,2010-01-20 10:17:20,27.604169940154417,120,18.926580646928652,1.458486900254428,False
2010-01-20 10:17:20,2010-01-20 10:37:20,2010-01-20 10:27:20,21.584627192403318,120,18.926580646928652,1.1404398710501362,False
2010-01-20 10:27:20,2010-01-20 10:47:20,2010-01-20 10:37:20,22.13649186881529,117,19.035181646895,1.1629251708468027,False
2010-01-20 10:37:20,2010-01-20 10:57:20,2010-01-20 10:47:20,6.905498076791253,57,19.035181646895,0.3627755282239542,False
2010-01-21 09:37:20,2010-01-21 09:57:20,2010-01-21 09:47:20,10.648394438732492,69,18.926580646928652,0.562615859535118,False
2010-01-21 09:47:20,2010-01-21 10:07:20,2010-01-21 09:57:20,16.637044708930368,120,18.738332272688098,0.8878615485530458,False
2010-01-21 09:57:20,2010-01-21 10:17:20,2010-01-21 10:07:20,11.561501347912358,120,18.738332272688098,0.6169973495861064,False
2010-01-21 10:07:20,2010-01-21 10:27:20,2010-01-21 10:17:20,12.48150700046874,120,18.738332272688098,0.6660948700680828,False
2010-01-21 10:17:20,2010-01-21 10:37:20,2010-01-21 10:27:20,25.563153016621253,120,18.738332272688098,1.3642170842429033,False
2010-01-21 10:27:20,2010-01-21 10:47:20,2010-01-21 10:37:20,14.558891374660108,120,18.634001901889256,0.7813078184340003,False
2010-01-21 10:37:20,2010-01-21 10:57:20,2010-01-21 10:47:20,16.82522586547017,120,18.634001901889256,0.9029314236446601,False
2010-01-21 10:47:20,2010-01-21 11:07:20,2010-01-21 10:57:20,22.94636679325433,120,18.55006310747784,1.2369966970087702,False
2010-01-21 10:57:20,2010-01-21 11:17:20,2010-01-21 11:07:20,16.497276531722804,120,18.55006310747784,0.8893380273769784,False
2010-01-21 11:07:20,2010-01-21 11:27:20,2010-01-21 11:17:20,24.53472775740419,120,18.55006310747784,1.3226223336951255,False
2010-01-21 11:17:20,2010-01-21 11:37:20,2010-01-21 11:27:20,20.76854364961341,120,18.55006310747784,1.119594231528046,False
2010-01-21 11:27:20,2010-01-21 11:47:20,2010-01-21 11:37:20,27.09990114238109,83,18.47481245722844,1.4668566300805943,False
2010-01-22 09:37:20,2010-01-22 09:57:20,2010-01-22 09:47:20,19.246807576880133,71,18.444284966911347,1.0435106381954353,False
2010-01-22 09:47:20,2010-01-22 10:07:20,2010-01-22 09:57:20,31.17566455268184,120,18.444284966911347,1.6902614879682414,False
2010-01-22 09:57:20,2010-01-22 10:17:20,2010-01-22 10:07:20,42.38638101061229,120,18.36310497660608,2.3082360561904416,True
2010-01-22 10:07:20,2010-01-22 10:27:20,2010-01-22 10:17:20,32.60408912101676,120,18.11053314262803,1.8002832309930312,False
2010-01-22 10:17:20,2010-01-22 10:37:20,2010-01-22 10:27:20,12.45446850070008,120,17.873659949221377,0.6968057206013158,False
2010-01-22 10:27:20,2010-01-22 10:47:20,2010-01-22 10:37:20,13.977783318825272,120,17.873659949221377,0.7820325192789729,False
2010-01-22 10:37:20,2010-01-22 10:57:20,2010-01-22 10:47:20,34.73605253719132,120,17.778022014097893,1.9538761122944828,False
2010-01-22 10:47:20,2010-01-22 11:07:20,2010-01-22 10:57:20,43.92306696843038,119,17.778022014097893,2.470638574617558,True
2010-01-22 10:57:20,2010-01-22 11:17:20,2010-01-22 11:07:20,18.314378053557984,116,17.873659949221377,1.0246574067979741,False
2010-01-22 11:07:20,2010-01-22 11:27:20,2010-01-22 11:17:20,25.132102418260445,110,17.873659949221377,1.406097155795742,False
2010-01-22 11:17:20,2010-01-22 11:37:20,2010-01-22 11:27:20,19.27186026248307,113,17.778022014097893,1.0840272470807253,False
2010-01-22 11:27:20,2010-01-22 11:47:20,2010-01-22 11:37:20,62.1898291168174,120,17.59563843052974,3.5343888977005475,True
2010-01-22 11:37:20,2010-01-22 11:57:20,2010-01-22 11:47:20,21.705397343461875,120,17.44083243523106,1.2445161332790662,False
2010-01-22 11:47:20,2010-01-22 12:07:20,2010-01-22 11:57:20,25.427478546907057,120,17.39520998114586,1.4617517451336965,False
2010-01-22 11:57:20,2010-01-22 12:17:20,2010-01-22 12:07:20,14.261604921835104,120,17.39520998114586,0.8198581642471016,False
2010-01-22 12:07:20,2010-01-22 12:27:20,2010-01-22 12:17:20,17.90668823169807,120,17.39520998114586,1.0294033961709335,False
2010-01-22 12:17:20,2010-01-22 12:37:20,2010-01-22 12:27:20,8.495837918749592,120,17.33882404686264,0.48998928046027806,False
2010-01-22 12:27:20,2010-01-22 12:47:20,2010-01-22 12:37:20,30.620588728219,120,17.269547335395245,1.7730973564929398,False
2010-01-22 12:37:20,2010-01-22 12:57:20,2010-01-22 12:47:20,37.83228134642668,117,17.232187852914343,2.1954427185534895,True
2010-01-22 12:47:20,2010-01-22 13:07:20,2010-01-22 12:57:20,26.290130194976847,115,17.232187852914343,1.5256408773730148,False
2010-01-22 12:57:20,2010-01-22 13:17:20,2010-01-22 13:07:20,41.72613720639781,116,17.269547335395245,2.416168553583158,True
2010-01-22 13:07:20,2010-01-22 13:27:20,2010-01-22 13:17:20,31.16416833673653,118,17.232187852914343,1.8084858755451636,False
2010-01-22 13:17:20,2010-01-22 13:37:20,2010-01-22 13:27:20,32.55531793405584,119,17.232187852914343,1.889215589566012,False
2010-01-22 13:27:20,2010-01-22 13:47:20,2010-01-22 13:37:20,24.249780240219632,118,17.269547335395245,1.4041931597429813,False
2010-01-22 13:37:20,2010-01-22 13:57:20,2010-01-22 13:47:20,35.07284752439934,116,17.232187852914343,2.0353101894991092,True
2010-01-22 13:47:20,2010-01-22 14:07:20,2010-01-22 13:57:20,45.7325688247824,112,17.232187852914343,2.6539037999779005,True
2010-01-22 13:57:20,2010-01-22 14:17:20,2010-01-22 14:07:20,36.62502321675243,111,17.269547335395245,2.120786521235949,True
2010-01-22 14:07:20,2010-01-22 14:27:20,2010-01-22 14:17:20,25.04083745261448,102,17.232187852914343,1.453143249502095,False
2010-01-22 14:17:20,2010-01-22 14:37:20,2010-01-22 14:27:20,17.715412361451097,103,17.232187852914343,1.0280419707968207,False
2010-01-22 14:27:20,2010-01-22 14:47:20,2010-01-22 14:37:20,25.33440369255874,113,17.232187852914343,1.4701791733470533,False
2010-01-22 14:37:20,2010-01-22 14:57:20,2010-01-22 14:47:20,32.67731732099211,106,17.232187852914343,1.8962953282490855,False
2010-01-22 14:47:20,2010-01-22 15:07:20,2010-01-22 14:57:20,20.767903507293184,108,17.232187852914343,1.2051808908165351,False
2010-01-22 14:57:20,2010-01-22 15:17:20,2010-01-22 15:07:20,22.87334656780088,114,17.269547335395245,1.3244902210563576,False
2010-01-22 15:07:20,2010-01-22 15:27:20,2010-01-22 15:17:20,43.807897123118266,113,17.269547335395245,2.5367136886865973,True
2010-01-22 15:17:20,2010-01-22 15:37:20,2010-01-22 15:27:20,25.68084306494302,116,17.269547335395245,1.487059421199083,False
