start,end,duration_hr,peak_clean,median_clean,peak_phase
2010-02-25 12:47:20,2010-02-25 13:57:20,1.1666666666666667,17.73564726088139,8.844211429263417,32.33905644361764
2010-02-27 06:07:20,2010-02-27 06:27:20,0.3333333333333333,12.843835995467607,9.701672899253667,15.960810803856956
2010-03-02 13:07:20,2010-03-02 13:57:20,0.8333333333333334,5.87292184085615,5.029167033900774,17.93446855128846
2010-03-04 13:47:20,2010-03-04 14:07:20,0.3333333333333333,5.270639907411381,5.178741583554384,27.39023289582801
2010-03-04 14:27:20,2010-03-04 15:07:20,0.6666666666666666,5.4136834450202524,5.145241754457984,28.13359534861876
2010-03-07 09:07:20,2010-03-07 09:57:20,0.8333333333333334,9.739015526224634,7.178336110043208,13.011620507992374
2010-06-03 14:37:20,2010-06-03 14:57:20,0.3333333333333333,4.580048528407806,3.982489586887179,4.926767144299184
2010-06-05 11:07:20,2010-06-05 11:47:20,0.6666666666666666,5.943843142148585,4.731399172156895,11.26685930936658
2010-06-09 12:47:20,2010-06-09 13:07:20,0.3333333333333333,3.751446872452023,3.4987647890338565,7.0930228166680775
2010-06-20 11:37:20,2010-06-20 11:57:20,0.3333333333333333,6.572692036779188,5.937293181289934,19.61871902460173
2010-07-18 12:57:20,2010-07-18 13:17:20,0.3333333333333333,4.939860460006762,3.2344524574923486,7.472184966205957
2010-07-18 13:37:20,2010-07-18 13:57:20,0.3333333333333333,4.480203226801345,3.978484122542111,6.776893288359527
2010-07-30 06:57:20,2010-07-30 07:57:20,1.0,81.06067140717175,17.06822505084922,108.63773232652278
2010-10-14 06:57:20,2010-10-14 07:37:20,0.6666666666666666,14.687387786494194,8.599217989492118,9.322315572000518
2010-10-15 06:37:20,2010-10-15 07:27:20,0.8333333333333334,27.704125490396496,7.744596184221438,23.92997238655298
2010-10-16 06:37:20,2010-10-16 07:07:20,0.5,12.321022853195876,6.6705740478487225,9.290395229381046
2010-10-20 04:27:20,2010-10-20 04:57:20,0.5,12.445254502018681,4.705489784941463,7.119353864819056
2010-10-20 06:17:20,2010-10-20 06:47:20,0.5,13.545060631822844,9.975336614900195,7.067766988420848
2010-10-21 05:47:20,2010-10-21 06:37:20,0.8333333333333334,32.139508214039154,8.013464369726389,13.132029308329292
2010-10-22 05:37:20,2010-10-22 06:27:20,0.8333333333333334,19.012492335562772,10.382192002697536,8.486672582274561
2010-10-23 05:57:20,2010-10-23 06:57:20,1.0,17.52973909358128,4.116930824244808,8.82684656139217
2010-10-24 05:47:20,2010-10-24 06:07:20,0.3333333333333333,17.25802405387717,10.259097914803496,9.891815201151577
2010-10-25 05:37:20,2010-10-25 05:57:20,0.3333333333333333,13.91817412881994,13.406938473688168,9.47937009044287
2010-11-21 13:17:20,2010-11-21 13:47:20,0.5,5.070657887503493,3.5092996746387266,4.318102314294096
2010-11-27 05:47:20,2010-11-27 06:07:20,0.3333333333333333,3.9118168126242185,3.6630005490096225,3.4509874394575153
2010-12-21 05:27:20,2010-12-21 05:57:20,0.5,7.5477158730708895,5.231971598429721,8.37213238493603
2010-12-28 07:17:20,2010-12-28 07:37:20,0.3333333333333333,4.058855856754006,3.7678397878737835,6.206903919171269
