start,end,mid,phase_rms_rad,n_samples,day,elongation_deg,phase_expected,phase_ratio,phase_smooth,clean_signal,event_flag
2014-01-01 10:07:50,2014-01-01 10:27:50,2014-01-01 10:17:50,2.2972638611488168,120,2014-01-01,16.6007,0.3462794324340909,6.634133147905245,1.2334725405906464,5.378419810406562,True
2014-01-01 10:17:50,2014-01-01 10:37:50,2014-01-01 10:27:50,1.2391098516726804,120,2014-01-01,16.6007,0.3462794324340909,3.5783524391346186,1.2006646061584378,2.9803097557640714,False
2014-01-01 10:27:50,2014-01-01 10:47:50,2014-01-01 10:37:50,0.4656450185328821,120,2014-01-01,16.6007,0.3462794324340909,1.3447088533665963,1.172485047100367,1.1468878487552145,False
2014-01-01 10:37:50,2014-01-01 10:57:50,2014-01-01 10:47:50,0.3784264978347482,120,2014-01-01,16.6007,0.3462794324340909,1.0928356188373274,1.144305488042296,0.955020866593042,False
2014-01-01 10:47:50,2014-01-01 11:07:50,2014-01-01 10:57:50,0.673374434389584,120,2014-01-01,16.6007,0.3462794324340909,1.9445984119133346,1.172485047100367,1.6585272594498797,False
2014-01-01 10:57:50,2014-01-01 11:17:50,2014-01-01 11:07:50,0.3951690411052985,120,2014-01-01,16.6007,0.3462794324340909,1.1411854245213164,1.2006646061584378,0.95046145165599,False
2014-01-01 11:07:50,2014-01-01 11:27:50,2014-01-01 11:17:50,0.5448392260898806,120,2014-01-01,16.6007,0.3462794324340909,1.5734091460762185,1.172485047100367,1.3419438908558905,False
2014-01-01 11:17:50,2014-01-01 11:37:50,2014-01-01 11:27:50,0.5679390682055293,120,2014-01-01,16.6007,0.3462794324340909,1.640117821071074,1.144305488042296,1.4332866863000238,False
2014-01-01 11:27:50,2014-01-01 11:47:50,2014-01-01 11:37:50,0.3299255082786673,120,2014-01-01,16.6007,0.3462794324340909,0.9527724645946556,1.1427454562818062,0.8337573860890483,False
2014-01-01 11:37:50,2014-01-01 11:57:50,2014-01-01 11:47:50,0.4503408674799394,120,2014-01-01,16.6007,0.3462794324340909,1.3005128959417913,1.1411854245213164,1.1396157609420106,False
2014-01-01 11:47:50,2014-01-01 12:07:50,2014-01-01 11:57:50,0.3962494549305016,120,2014-01-01,16.6007,0.3462794324340909,1.144305488042296,1.117010521679322,1.0244357289687285,False
2014-01-01 11:57:50,2014-01-01 12:17:50,2014-01-01 12:07:50,0.3381927027246055,120,2014-01-01,16.6007,0.3462794324340909,0.9766468090448179,1.0928356188373274,0.8936813480547758,False
2014-01-01 12:07:50,2014-01-01 12:27:50,2014-01-01 12:17:50,0.3118445338685095,120,2014-01-01,16.6007,0.3462794324340909,0.9005574823675515,1.0604756307211494,0.8492014868414755,False
2014-01-01 12:17:50,2014-01-01 12:37:50,2014-01-01 12:27:50,0.35601530119786,120,2014-01-01,16.6007,0.3462794324340909,1.0281156426049711,1.0928356188373274,0.9407779403262752,False
2014-01-01 12:27:50,2014-01-01 12:47:50,2014-01-01 12:37:50,0.4384868841932852,120,2014-01-01,16.6007,0.3462794324340909,1.266280475022855,1.108935605086041,1.1418881937013878,False
2014-01-01 12:37:50,2014-01-01 12:57:50,2014-01-01 12:47:50,0.4157654583642451,120,2014-01-01,16.6007,0.3462794324340909,1.2006646061584378,1.0928356188373274,1.098668990525611,False
2014-01-01 12:47:50,2014-01-01 13:07:50,2014-01-01 12:57:50,0.3464338329973728,120,2014-01-01,16.6007,0.3462794324340909,1.0004458843027337,1.108935605086041,0.9021677000127616,False
2014-01-01 12:57:50,2014-01-01 13:17:50,2014-01-01 13:07:50,0.5070014943933374,120,2014-01-01,16.6007,0.3462794324340909,1.4641397868463863,1.0928356188373274,1.3397621395284418,False
2014-01-01 13:07:50,2014-01-01 13:27:50,2014-01-01 13:17:50,0.220924760219019,120,2014-01-01,16.6007,0.3462794324340909,0.6379956171987452,1.0622690506925734,0.6005970114471354,False
2014-01-01 13:17:50,2014-01-01 13:37:50,2014-01-01 13:27:50,0.3487028611513441,120,2014-01-01,16.6007,0.3462794324340909,1.0069984772130942,1.0622690506925734,0.9479693271272056,False
2014-01-01 13:27:50,2014-01-01 13:47:50,2014-01-01 13:37:50,0.2267455432118386,120,2014-01-01,16.6007,0.3462794324340909,0.6548051139450687,1.0622690506925734,0.6164211538669528,False
2014-01-01 13:37:50,2014-01-01 13:57:50,2014-01-01 13:47:50,0.5325464491740647,120,2014-01-01,16.6007,0.3462794324340909,1.5379095588515121,1.0622690506925734,1.4477589814452683,False
2014-01-01 13:47:50,2014-01-01 14:07:50,2014-01-01 13:57:50,0.6601884765971953,120,2014-01-01,16.6007,0.3462794324340909,1.9065194601843767,1.0783690369412873,1.7679656915892874,False
2014-01-01 13:57:50,2014-01-01 14:17:50,2014-01-01 14:07:50,0.328541903154389,120,2014-01-01,16.6007,0.3462794324340909,0.9487768327589657,1.0783690369412873,0.879825737068731,False
2014-01-01 14:07:50,2014-01-01 14:27:50,2014-01-01 14:17:50,0.3362639335182513,120,2014-01-01,16.6007,0.3462794324340909,0.9710768299305622,1.0783690369412873,0.9005051115756705,False
2014-01-01 14:17:50,2014-01-01 14:37:50,2014-01-01 14:27:50,0.2966591025461896,120,2014-01-01,16.6007,0.3462794324340909,0.8567043686680821,1.0783690369412873,0.7944445169698674,False
2014-01-01 14:27:50,2014-01-01 14:47:50,2014-01-01 14:37:50,0.1959975079284221,120,2014-01-01,16.6007,0.3462794324340909,0.5660096718730971,1.0783690369412873,0.5248756710212499,False
2014-01-01 14:37:50,2014-01-01 14:57:50,2014-01-01 14:47:50,0.152061811347009,120,2014-01-01,16.6007,0.3462794324340909,0.43913035861854627,1.1346705396885253,0.38701133347402367,False
2014-01-01 14:47:50,2014-01-01 15:07:50,2014-01-01 14:57:50,0.3032917349050701,120,2014-01-01,16.6007,0.3462794324340909,0.8758583574344895,1.0783690369412873,0.8122065150523942,False
2014-01-01 14:57:50,2014-01-01 15:17:50,2014-01-01 15:07:50,0.2761965317502782,120,2014-01-01,16.6007,0.3462794324340909,0.7976117143568673,1.0783690369412873,0.7396463427948867,False
2014-01-01 15:07:50,2014-01-01 15:27:50,2014-01-01 15:17:50,0.3895766860355507,120,2014-01-01,16.6007,0.3462794324340909,1.1250355913347547,1.1575495098775932,0.9719114229971237,False
2014-01-01 15:17:50,2014-01-01 15:37:50,2014-01-01 15:27:50,0.5631604972735443,120,2014-01-01,16.6007,0.3462794324340909,1.6263180672179642,1.1953640172894349,1.360521183250727,False
2014-01-01 15:27:50,2014-01-01 15:47:50,2014-01-01 15:37:50,0.3572573500975015,120,2014-01-01,16.6007,0.3462794324340909,1.0317024825478196,1.2334725405906464,0.8364211189118085,False
2014-01-01 15:37:50,2014-01-01 15:57:50,2014-01-01 15:47:50,0.7074495023575325,120,2014-01-01,16.6007,0.3462794324340909,2.0430017959330717,1.1953640172894349,1.7091043116436702,False
2014-01-01 15:47:50,2014-01-01 16:07:50,2014-01-01 15:57:50,0.3325370729393497,120,2014-01-01,16.6007,0.3462794324340909,0.9603142485300312,1.1575495098775932,0.8296096541318402,False
2014-01-01 15:57:50,2014-01-01 16:17:50,2014-01-01 16:07:50,0.3221104829380894,120,2014-01-01,16.6007,0.3462794324340909,0.9302039127010477,1.1575495098775932,0.8035975176555632,False
2014-01-01 16:07:50,2014-01-01 16:27:50,2014-01-01 16:17:50,0.4677193662492128,120,2014-01-01,16.6007,0.3462794324340909,1.3506992400948796,1.114035231196682,1.212438531808349,False
2014-01-01 16:17:50,2014-01-01 16:37:50,2014-01-01 16:27:50,0.5167306603141311,120,2014-01-01,16.6007,0.3462794324340909,1.492236072705482,1.1148133882699314,1.3385523428466082,False
2014-01-01 16:27:50,2014-01-01 16:47:50,2014-01-01 16:37:50,0.5452316362822944,110,2014-01-01,16.6007,0.3462794324340909,1.5745423643839174,1.1575495098775932,1.3602375975697314,False
2014-01-01 16:37:50,2014-01-01 16:57:50,2014-01-01 16:47:50,0.4120944885539954,50,2014-01-01,16.6007,0.3462794324340909,1.1900634284204317,1.1575495098775932,1.0280885770028763,False
2014-01-02 09:57:50,2014-01-02 10:17:50,2014-01-02 10:07:50,0.489627190103026,101,2014-01-02,15.222,0.3534931903456449,1.3851106710832803,1.1148133882699314,1.242459666933872,False
2014-01-02 10:07:50,2014-01-02 10:27:50,2014-01-02 10:17:50,1.3341040736137904,120,2014-01-02,15.222,0.3534931903456449,3.774058765628006,1.1148133882699314,3.385372659979383,True
2014-01-02 10:17:50,2014-01-02 10:37:50,2014-01-02 10:27:50,2.339154835635652,120,2014-01-02,15.222,0.3534931903456449,6.617255719547048,1.1148133882699314,5.935751928684949,True
2014-01-02 10:27:50,2014-01-02 10:47:50,2014-01-02 10:37:50,1.0425647712286363,120,2014-01-02,15.222,0.3534931903456449,2.94932066501541,1.1148133882699314,2.6455734170832246,False
2014-01-02 10:37:50,2014-01-02 10:57:50,2014-01-02 10:47:50,0.6616657931440362,120,2014-01-02,15.222,0.3534931903456449,1.8717921906700967,1.1575495098775932,1.6170299194096953,False
2014-01-02 10:47:50,2014-01-02 11:07:50,2014-01-02 10:57:50,0.3578109627331297,120,2014-01-02,15.222,0.3534931903456449,1.0122145843411094,1.217076012288084,0.8316773760401059,False
2014-01-02 10:57:50,2014-01-02 11:17:50,2014-01-02 11:07:50,0.6662991063312557,120,2014-01-02,15.222,0.3534931903456449,1.884899411159094,1.217076012288084,1.5487113311973937,False
2014-01-02 11:07:50,2014-01-02 11:27:50,2014-01-02 11:17:50,0.6840202776275774,120,2014-01-02,15.222,0.3534931903456449,1.9350309887405295,1.217076012288084,1.5899015091939093,False
2014-01-02 11:17:50,2014-01-02 11:37:50,2014-01-02 11:27:50,0.8957374594758286,120,2014-01-02,15.222,0.3534931903456449,2.5339595894336138,1.217076012288084,2.0820060241511205,False
2014-01-02 11:27:50,2014-01-02 11:47:50,2014-01-02 11:37:50,0.9522444796170906,120,2014-01-02,15.222,0.3534931903456449,2.693812796467134,1.270465547020561,2.120335181685598,False
2014-01-02 11:37:50,2014-01-02 11:57:50,2014-01-02 11:47:50,0.3899153156330048,120,2014-01-02,15.222,0.3534931903456449,1.103034871058609,1.270465547020561,0.8682131315134024,False
2014-01-02 11:47:50,2014-01-02 12:07:50,2014-01-02 11:57:50,0.2748624072669758,120,2014-01-02,15.222,0.3534931903456449,0.777560685110273,1.3072945488692471,0.5947861450067463,False
2014-01-02 11:57:50,2014-01-02 12:17:50,2014-01-02 12:07:50,0.3427601088412798,120,2014-01-02,15.222,0.3534931903456449,0.9696370911873285,1.3072945488692471,0.7417127930549564,False
2014-01-02 12:07:50,2014-01-02 12:27:50,2014-01-02 12:17:50,0.3491323941301404,120,2014-01-02,15.222,0.3534931903456449,0.9876637051728195,1.334222919973994,0.7402538889019166,False
2014-01-02 12:17:50,2014-01-02 12:37:50,2014-01-02 12:27:50,0.3904654620858308,120,2014-01-02,15.222,0.3534931903456449,1.104591185205108,1.334222919973994,0.827891028304804,False
2014-01-02 12:27:50,2014-01-02 12:47:50,2014-01-02 12:37:50,0.4397768469277259,120,2014-01-02,15.222,0.3534931903456449,1.2440885961557364,1.3072945488692471,0.9516513300172627,False
2014-01-02 12:37:50,2014-01-02 12:57:50,2014-01-02 12:47:50,0.3501971000969874,120,2014-01-02,15.222,0.3534931903456449,0.9906756612611558,1.3072945488692471,0.7578060063954578,False
2014-01-02 12:47:50,2014-01-02 13:07:50,2014-01-02 12:57:50,0.3207682010126653,120,2014-01-02,15.222,0.3534931903456449,0.9074239894098634,1.3072945488692471,0.6941235930301596,False
2014-01-02 12:57:50,2014-01-02 13:17:50,2014-01-02 13:07:50,0.4584249919533203,120,2014-01-02,15.222,0.3534931903456449,1.2968424978853859,1.3514286354681944,0.9596085681846622,False
2014-01-02 13:07:50,2014-01-02 13:27:50,2014-01-02 13:17:50,0.3006090074115945,120,2014-01-02,15.222,0.3534931903456449,0.8503954690546079,1.3072945488692471,0.6505002792141702,False
2014-01-02 13:17:50,2014-01-02 13:37:50,2014-01-02 13:27:50,0.2944001783524594,120,2014-01-02,15.222,0.3534931903456449,0.8328312578372317,1.270465547020561,0.6555323438643026,False
2014-01-02 13:27:50,2014-01-02 13:47:50,2014-01-02 13:37:50,0.5615241723945182,120,2014-01-02,15.222,0.3534931903456449,1.5885006776098318,1.174339890680422,1.3526753968047884,False
2014-01-02 13:37:50,2014-01-02 13:57:50,2014-01-02 13:47:50,0.5533468001909133,120,2014-01-02,15.222,0.3534931903456449,1.5653676373506713,1.1038130281318586,1.4181456437418283,False
2014-01-02 13:47:50,2014-01-02 14:07:50,2014-01-02 13:57:50,0.3660206783235975,120,2014-01-02,15.222,0.3534931903456449,1.0354391210922713,1.0958000565151798,0.9449161048459279,False
2014-01-02 13:57:50,2014-01-02 14:17:50,2014-01-02 14:07:50,0.2873070809907788,120,2014-01-02,15.222,0.3534931903456449,0.8127655322294908,1.1038130281318586,0.7363253662670124,False
2014-01-02 14:07:50,2014-01-02 14:27:50,2014-01-02 14:17:50,0.3440974692192527,120,2014-01-02,15.222,0.3534931903456449,0.9734203617410421,1.1038130281318586,0.8818706945219711,False
2014-01-02 14:17:50,2014-01-02 14:37:50,2014-01-02 14:27:50,0.5447997998852804,120,2014-01-02,15.222,0.3534931903456449,1.541188952897724,1.1038130281318586,1.3962409517000354,False
2014-01-02 14:27:50,2014-01-02 14:47:50,2014-01-02 14:37:50,0.4658144496492012,120,2014-01-02,15.222,0.3534931903456449,1.3177465998531084,1.1038130281318586,1.1938132331010083,False
2014-01-02 14:37:50,2014-01-02 14:57:50,2014-01-02 14:47:50,0.6430444009230177,120,2014-01-02,15.222,0.3534931903456449,1.8191139701849708,1.0958000565151798,1.6600783686487894,False
2014-01-02 14:47:50,2014-01-02 15:07:50,2014-01-02 14:57:50,1.0488000810527711,120,2014-01-02,15.222,0.3534931903456449,2.966959787902156,1.0965782135884292,2.705652684994637,False
2014-01-02 14:57:50,2014-01-02 15:17:50,2014-01-02 15:07:50,0.5872886489381482,120,2014-01-02,15.222,0.3534931903456449,1.6613860322567986,1.174339890680422,1.4147403536587504,False
2014-01-02 15:07:50,2014-01-02 15:27:50,2014-01-02 15:17:50,0.3427506205695552,120,2014-01-02,15.222,0.3534931903456449,0.969610249731867,1.270465547020561,0.7631928720977548,False
2014-01-02 15:17:50,2014-01-02 15:37:50,2014-01-02 15:27:50,0.3362026739900267,120,2014-01-02,15.222,0.3534931903456449,0.9510867059738503,1.2986291507272076,0.732377450052819,False
2014-01-02 15:27:50,2014-01-02 15:47:50,2014-01-02 15:37:50,0.4935610229017512,120,2014-01-02,15.222,0.3534931903456449,1.3962391253397222,1.3060079420630677,1.06908930671135,False
2014-01-02 15:37:50,2014-01-02 15:57:50,2014-01-02 15:47:50,0.8495221485497689,120,2014-01-02,15.222,0.3534931903456449,2.4032206892560164,1.3110723235939565,1.8330191599714538,False
2014-01-02 15:47:50,2014-01-02 16:07:50,2014-01-02 15:57:50,0.851391220596245,120,2014-01-02,15.222,0.3534931903456449,2.4085081236324704,1.3146733402051072,1.8320202060663298,False
2014-01-02 15:57:50,2014-01-02 16:17:50,2014-01-02 16:07:50,0.3848004002839729,120,2014-01-02,15.222,0.3534931903456449,1.0885652419717502,1.3146733402051072,0.8280119545148144,False
2014-01-02 16:07:50,2014-01-02 16:27:50,2014-01-02 16:17:50,0.3317546854402503,120,2014-01-02,15.222,0.3534931903456449,0.938503751984193,1.3146733402051072,0.7138683985466484,False
2014-01-02 16:17:50,2014-01-02 16:37:50,2014-01-02 16:27:50,0.3757196572291801,120,2014-01-02,15.222,0.3534931903456449,1.0628766479541012,1.3569928625964152,0.7832588344793767,False
2014-01-02 16:27:50,2014-01-02 16:47:50,2014-01-02 16:37:50,0.1338354342803702,80,2014-01-02,15.222,0.3534931903456449,0.37860823895788825,1.4016862870931137,0.2701091124627214,False
2014-01-03 09:47:50,2014-01-03 10:07:50,2014-01-03 09:57:50,0.2654852727638773,83,2014-01-03,13.8287,0.3291314681402348,0.8066237915930924,1.4016862870931137,0.5754667067949338,False
2014-01-03 09:57:50,2014-01-03 10:17:50,2014-01-03 10:07:50,0.4857238091074124,120,2014-01-03,13.8287,0.3291314681402348,1.4757744431184485,1.3569928625964152,1.0875329442004298,False
2014-01-03 10:07:50,2014-01-03 10:27:50,2014-01-03 10:17:50,0.4280077626214379,120,2014-01-03,13.8287,0.3291314681402348,1.3004158035690296,1.3569928625964152,0.9583070327141343,False
2014-01-03 10:17:50,2014-01-03 10:37:50,2014-01-03 10:27:50,0.9036665610690344,120,2014-01-03,13.8287,0.3291314681402348,2.745609729070343,1.3569928625964152,2.0233044732578804,False
2014-01-03 10:27:50,2014-01-03 10:47:50,2014-01-03 10:37:50,1.043334369348515,120,2014-01-03,13.8287,0.3291314681402348,3.169962371704841,1.4016862870931137,2.261534839067924,False
2014-01-03 10:37:50,2014-01-03 10:57:50,2014-01-03 10:47:50,0.2458319658443897,120,2014-01-03,13.8287,0.3291314681402348,0.746911157518511,1.4016862870931137,0.5328661373062957,False
2014-01-03 10:47:50,2014-01-03 11:07:50,2014-01-03 10:57:50,0.5189041241533676,120,2014-01-03,13.8287,0.3291314681402348,1.5765861802441672,1.441453945982477,1.0937471742599352,False
2014-01-03 10:57:50,2014-01-03 11:17:50,2014-01-03 11:07:50,0.6035910538508228,120,2014-01-03,13.8287,0.3291314681402348,1.8338904428112828,1.4016862870931137,1.3083458543455508,False
2014-01-03 11:07:50,2014-01-03 11:27:50,2014-01-03 11:17:50,0.4316888601266105,120,2014-01-03,13.8287,0.3291314681402348,1.311600080557106,1.3539196029484142,0.9687429576326766,False
2014-01-03 11:17:50,2014-01-03 11:37:50,2014-01-03 11:27:50,0.5686274409427239,120,2014-01-03,13.8287,0.3291314681402348,1.727660512547666,1.3110723235939565,1.3177461543934843,False
2014-01-03 11:27:50,2014-01-03 11:47:50,2014-01-03 11:37:50,0.4631318978880823,120,2014-01-03,13.8287,0.3291314681402348,1.4071334488465053,1.3110723235939565,1.0732691275102373,False
2014-01-03 11:37:50,2014-01-03 11:57:50,2014-01-03 11:47:50,0.4313414572784053,120,2014-01-03,13.8287,0.3291314681402348,1.310544566630807,1.3539196029484142,0.9679633589593135,False
2014-01-03 11:47:50,2014-01-03 12:07:50,2014-01-03 11:57:50,0.5562351347818593,120,2014-01-03,13.8287,0.3291314681402348,1.6900089739971664,1.3110723235939565,1.2890280296394754,False
2014-01-03 11:57:50,2014-01-03 12:17:50,2014-01-03 12:07:50,0.3589460317969357,120,2014-01-03,13.8287,0.3291314681402348,1.0905855761078356,1.3054801850999183,0.8353903709571546,False
2014-01-03 12:07:50,2014-01-03 12:27:50,2014-01-03 12:17:50,0.279991797360192,120,2014-01-03,13.8287,0.3291314681402348,0.8506989591189572,1.2398388360652604,0.6861367254946833,False
2014-01-03 12:17:50,2014-01-03 12:37:50,2014-01-03 12:27:50,0.5532771117596215,120,2014-01-03,13.8287,0.3291314681402348,1.6810216139037903,1.3054801850999183,1.2876653610603281,False
