month,cme_id,t0,dt0_hr,pa_deg,da_deg,v_km_s,dv_km_s,minv_km_s,maxv_km_s,halo_flag,source_url
01,0067,2011-01-31 17:00:00,3,274,118,512,201,251,931,II,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2011/01/cmecat.txt
01,0066,2011-01-30 21:48:00,2,291,40,416,30,322,437,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2011/01/cmecat.txt
01,0065,2011-01-30 20:00:00,1,262,14,297,93,242,512,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2011/01/cmecat.txt
01,0064,2011-01-30 19:36:00,1,276,38,422,128,137,500,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2011/01/cmecat.txt
01,0063,2011-01-30 14:00:00,2,190,66,140,2,133,142,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2011/01/cmecat.txt
01,0062,2011-01-29 14:36:00,1,126,6,707,692,140,1735,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2011/01/cmecat.txt
01,0061,2011-01-29 14:00:00,3,37,20,359,59,249,425,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2011/01/cmecat.txt
01,0060,2011-01-29 09:57:00,1,119,20,457,313,139,1026,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2011/01/cmecat.txt
01,0059,2011-01-29 09:36:00,2,281,60,238,113,146,493,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2011/01/cmecat.txt
01,0058,2011-01-29 02:00:00,0,299,12,347,56,318,456,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2011/01/cmecat.txt
01,0057,2011-01-28 10:36:00,2,264,74,507,160,259,868,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2011/01/cmecat.txt
01,0056,2011-01-28 07:12:00,5,115,44,137,1,135,142,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2011/01/cmecat.txt
