month,cme_id,t0,dt0_hr,pa_deg,da_deg,v_km_s,dv_km_s,minv_km_s,maxv_km_s,halo_flag,source_url
01,0012,2010-01-18 23:49:00,0,258,18,1132,117,865,1196,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2010/01/cmecat.txt
01,0011,2010-01-18 20:49:00,2,100,66,363,115,197,598,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2010/01/cmecat.txt
01,0010,2010-01-17 04:06:00,2,96,90,437,194,271,950,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2010/01/cmecat.txt
01,0009,2010-01-15 01:27:00,4,80,22,166,190,117,724,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2010/01/cmecat.txt
01,0008,2010-01-10 07:31:00,1,73,12,265,91,128,321,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2010/01/cmecat.txt
01,0007,2010-01-07 23:54:00,0,259,32,1183,104,1030,1363,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2010/01/cmecat.txt
01,0006,2010-01-06 10:06:00,1,117,16,1357,467,520,1838,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2010/01/cmecat.txt
01,0005,2010-01-06 07:31:00,1,244,10,1102,792,262,1953,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2010/01/cmecat.txt
01,0004,2010-01-05 18:06:00,2,92,62,252,36,161,312,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2010/01/cmecat.txt
01,0003,2010-01-03 06:06:00,1,114,6,254,77,159,372,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2010/01/cmecat.txt
01,0002,2010-01-01 15:08:00,1,49,12,868,519,488,1720,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2010/01/cmecat.txt
01,0001,2010-01-01 15:08:00,1,47,8,248,71,151,322,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2010/01/cmecat.txt
02,0031,2010-02-28 23:06:00,7,258,94,229,79,119,473,II,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2010/02/cmecat.txt
02,0030,2010-02-28 15:08:00,11,358,230,328,67,192,466,III,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2010/02/cmecat.txt
02,0029,2010-02-28 13:54:00,1,338,22,220,4,212,227,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2010/02/cmecat.txt
02,0028,2010-02-24 17:06:00,4,116,50,215,85,142,381,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2010/02/cmecat.txt
02,0027,2010-02-24 16:30:00,1,59,20,1348,278,946,1953,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2010/02/cmecat.txt
02,0026,2010-02-24 13:31:00,4,244,26,268,99,161,473,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2010/02/cmecat.txt
