month,cme_id,t0,dt0_hr,pa_deg,da_deg,v_km_s,dv_km_s,minv_km_s,maxv_km_s,halo_flag,source_url
01,0130,2013-01-31 18:24:00,0,239,36,1736,96,1524,1838,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0129,2013-01-31 18:24:00,0,173,28,1623,201,1250,1882,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0128,2013-01-31 18:24:00,1,16,46,1524,737,225,1785,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0127,2013-01-31 18:12:00,0,110,10,1489,47,1453,1562,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0126,2013-01-31 16:48:00,4,68,74,679,68,534,768,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0125,2013-01-31 12:36:00,1,105,8,404,17,392,434,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0124,2013-01-31 11:00:00,1,123,36,817,232,477,1249,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0123,2013-01-31 06:48:00,1,160,14,323,18,292,336,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0122,2013-01-31 06:36:00,2,167,132,578,114,325,743,II,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0121,2013-01-31 05:24:00,1,73,24,419,33,408,484,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0120,2013-01-31 01:36:00,1,297,8,426,2,422,428,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0119,2013-01-30 17:24:00,0,186,6,300,78,225,425,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0118,2013-01-30 17:24:00,2,177,28,140,97,106,413,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0117,2013-01-30 13:36:00,4,283,56,244,83,134,395,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0116,2013-01-30 13:25:00,2,320,22,238,67,137,328,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0115,2013-01-29 17:48:00,3,108,38,137,2,135,142,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0114,2013-01-29 15:48:00,1,275,28,329,81,206,516,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0113,2013-01-29 03:36:00,1,329,8,363,37,350,425,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0112,2013-01-29 02:36:00,1,349,36,365,47,303,443,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0111,2013-01-28 21:49:00,8,205,64,140,2,134,142,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0110,2013-01-28 08:12:00,1,102,22,345,34,296,405,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0109,2013-01-28 02:24:00,1,205,8,1715,110,1562,1838,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0108,2013-01-27 06:24:00,4,342,74,416,116,234,625,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0107,2013-01-25 10:12:00,0,93,24,241,23,208,277,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0106,2013-01-24 21:49:00,1,88,14,231,67,132,351,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0105,2013-01-24 14:00:00,1,102,18,224,49,137,323,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0104,2013-01-24 11:36:00,1,41,8,679,39,667,744,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0103,2013-01-24 08:48:00,1,84,22,408,119,207,686,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0102,2013-01-23 22:12:00,2,24,58,372,284,244,1116,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0101,2013-01-23 14:12:00,4,10,122,437,63,285,552,II,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0100,2013-01-23 05:36:00,1,225,20,419,7,408,431,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0099,2013-01-23 03:36:00,4,123,100,419,62,312,573,II,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0098,2013-01-22 05:12:00,1,101,8,498,18,466,516,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0097,2013-01-22 04:12:00,3,119,128,413,108,206,595,II,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
01,0096,2013-01-22 01:36:00,1,255,8,385,37,361,449,,https://www.sidc.be/cactus/catalog/LASCO/2_5_0/2013/01/cmecat.txt
